Player Name,Player Extension
Kareem Abdul-Jabbar,/players/a/abdulka01.html
Ray Allen,/players/a/allenra02.html
Giannis Antetokounmpo,/players/a/antetgi01.html
Carmelo Anthony,/players/a/anthoca01.html
Paul Arizin,/players/a/arizipa01.html
Charles Barkley,/players/b/barklch01.html
Rick Barry,/players/b/barryri01.html
Elgin Baylor,/players/b/bayloel01.html
Bradley Beal,/players/b/bealbr01.html
Larry Bird,/players/b/birdla01.html
Bill Bradley,/players/b/bradlbi01.html
Kobe Bryant,/players/b/bryanko01.html
Stephen Curry,/players/c/curryst01.html
Anthony Davis,/players/d/davisan02.html
Dave DeBusschere,/players/d/debusda01.html
Clyde Drexler,/players/d/drexlcl01.html
Kevin Durant,/players/d/duranke01.html
Tim Duncan,/players/d/duncati01.html
Kevin Garnett,/players/g/garneke01.html
George Gervin,/players/g/gervige01.html
Hal Greer,/players/g/greerha01.html
John Havlicek,/players/h/havlijo01.html
Elvin Hayes,/players/h/hayesel01.html
Allen Iverson,/players/i/iversal01.html
LeBron James,/players/j/jamesle01.html
Magic Johnson,/players/j/johnsma02.html
Sam Jones,/players/j/jonessa01.html
Michael Jordan,/players/j/jordami01.html
Jason Kidd,/players/k/kiddja01.html
Bernard King,/players/k/kingbe01.html
Bob Lanier,/players/l/laniebo01.html
Kawhi Leonard,/players/l/leonaka01.html
Damian Lillard,/players/l/lillada01.html
Jerry Lucas,/players/l/lucasje01.html
Karl Malone,/players/m/malonka01.html
Moses Malone,/players/m/malonmo01.html
Pete Maravich,/players/m/maravpe01.html
Kevin McHale,/players/m/mchalke01.html
George Mikan,/players/m/mikange01.html
Reggie Miller,/players/m/millere01.html
Earl Monroe,/players/m/monroea01.html
Chris Mullin,/players/m/mullich01.html
Yao Ming,/players/m/mingya01.html
Steve Nash,/players/n/nashst01.html
Dirk Nowitzki,/players/n/nowitdi01.html
Hakeem Olajuwon,/players/o/olajuha01.html
Shaquille O'Neal,/players/o/onealsh01.html
Tony Parker,/players/p/parketo01.html
Chris Paul,/players/p/paulch01.html
Paul Pierce,/players/p/piercpa01.html
Scottie Pippen,/players/p/pippesc01.html
Willis Reed,/players/r/reedwi01.html
Oscar Robertson,/players/r/roberos01.html
David Robinson,/players/r/robinda01.html
Bill Russell,/players/r/russebi01.html
Dolph Schayes,/players/s/schaydo01.html
Bill Sharman,/players/s/sharmbi01.html
John Stockton,/players/s/stockjo01.html
Isiah Thomas,/players/t/thomais01.html
Nate Thurmond,/players/t/thurmna01.html
Wes Unseld,/players/u/unselwe01.html
Dwyane Wade,/players/w/wadedw01.html
Bill Walton,/players/w/waltobi01.html
Jerry West,/players/w/westje01.html
Lenny Wilkens,/players/w/wilkele01.html
Dominique Wilkins,/players/w/wilkido01.html
James Worthy,/players/w/worthja01.html
Bob Pettit,/players/p/pettibo01.html
Willis Reed,/players/r/reedwi01.html
Paul Arizin,/players/a/arizipa01.html
George Gervin,/players/g/gervige01.html
James Harden,/players/h/hardeja01.html
Chris Webber,/players/w/webbech01.html
Dwight Howard,/players/h/howardw01.html
Klay Thompson,/players/t/thompkl01.html
Luka Dončić,/players/d/doncilu01.html
Vince Carter,/players/c/cartevi01.html
Tony Parker,/players/p/parketo01.html
Dikembe Mutombo,/players/m/mutomdi01.html
Julius Erving,/players/e/ervinju01.html
Aonzo Mourning,/players/m/mournal01.html
Nikola Jokić,/players/j/jokicni01.html
Wilt Chamberlain,/players/c/chambwi01.html
Andre Iguodala,/players/i/iguodan01.html
Kyrie Irving,/players/i/irvinky01.html
Tracy McGrady,/players/m/mcgratr01.html
Robert Horry,/players/h/horryro01.html
Chauncy Billups,/players/b/billuch01.html
Joe Dumars,/players/d/dumarjo01.html